iter	Passed	Remaining
468	1656	109
469	1659	105
470	1663	102
471	1667	98
472	1670	95
473	1674	91
474	1679	88
475	1683	84
476	1687	81
477	1692	77
478	1696	74
479	1700	70
480	1704	67
481	1708	63
482	1712	60
483	1716	56
484	1720	53
485	1724	49
486	1728	46
487	1731	42
488	1736	39
489	1739	35
490	1743	31
491	1747	28
492	1750	24
493	1754	21
494	1758	17
495	1763	14
496	1766	10
497	1770	7
498	1774	3
499	1778	0
