iter	RMSE
354	0.1787997836
355	0.1787635637
356	0.1787505367
357	0.1787006186
358	0.1786237186
359	0.1785482784
360	0.1784054916
361	0.1783141782
362	0.1782089578
363	0.1781292111
364	0.1780291306
365	0.1779792157
366	0.1778955402
367	0.1777922325
368	0.1777410631
369	0.1776757447
370	0.1776009659
371	0.1775124917
372	0.1774513987
373	0.1774245265
374	0.1773031475
375	0.1772185331
376	0.1770961114
377	0.1770302323
378	0.1769697573
379	0.1769043486
380	0.1768524643
381	0.1767626084
382	0.176745215
383	0.1766670362
384	0.1765824535
385	0.1764915819
386	0.1763970148
387	0.1762724823
388	0.1761983645
389	0.1761223621
390	0.1760173259
391	0.1759599282
392	0.1758889492
393	0.1758441268
394	0.1757813071
395	0.175703836
396	0.1755807445
397	0.1755087117
398	0.1754515355
399	0.1754045263
400	0.1753707667
401	0.1753062331
402	0.1752220006
403	0.1751525813
404	0.1751512509
405	0.1750639865
406	0.1749922492
407	0.1749191509
408	0.1748706445
409	0.1748468129
410	0.1747865343
411	0.1746449867
412	0.1745765788
413	0.1744502585
414	0.1744393811
415	0.1744082454
416	0.1743223469
417	0.1742264378
418	0.1741604424
419	0.1740860463
420	0.1740118787
421	0.1739489391
422	0.1738444508
423	0.1738056768
424	0.1737414885
425	0.1736379619
426	0.1735746104
427	0.173503234
428	0.1733764429
429	0.1732928917
430	0.1731967497
431	0.1731285814
432	0.1731155677
433	0.173041771
434	0.1729526075
435	0.1729150927
436	0.1728323472
437	0.172789885
438	0.1726755678
439	0.1726116037
440	0.1725367556
441	0.1724390088
442	0.1723999324
443	0.1723277083
444	0.1722895982
445	0.1721942826
446	0.1721476623
447	0.1720839682
448	0.1720128883
449	0.1718955734
450	0.1717817495
451	0.1716878399
452	0.1716207583
453	0.1715530952
454	0.1714632875
455	0.1713821498
456	0.1713164381
457	0.1712620537
458	0.1711876129
459	0.1711002307
460	0.1710286033
461	0.1709418287
462	0.1708719322
463	0.1708107097
464	0.1707859403
465	0.1707068756
466	0.1706328679
467	0.1705392216
468	0.1704650964
469	0.1704134489
470	0.1703513018
471	0.1702951314
472	0.1702711594
473	0.1701905732
474	0.1701119103
475	0.1700244491
476	0.1699794111
477	0.169918632
478	0.1698693772
479	0.1697849725
480	0.1697244842
481	0.1696456176
482	0.1695695838
483	0.1694942726
484	0.1694489632
485	0.1693544231
486	0.1693028474
487	0.1692430218
488	0.1692216879
489	0.1691812728
490	0.1690622177
491	0.1689870593
492	0.1689521635
493	0.1688961152
494	0.1688443211
495	0.1687356704
496	0.1686739095
497	0.1685810094
498	0.1685396661
499	0.1684839128
