iter	RMSE
0	0.9731584889
1	0.9318972723
2	0.8930064788
3	0.8549530957
4	0.8214501875
5	0.7891425957
6	0.7568456271
7	0.7263400851
8	0.6983579314
9	0.6701984141
10	0.6455895943
11	0.6201222215
12	0.5975973966
13	0.5744893995
14	0.5540824188
15	0.5339330835
16	0.5149293355
17	0.4966917374
18	0.4793670914
19	0.4628102055
20	0.4474366174
21	0.4324641005
22	0.4188418487
23	0.4060441008
24	0.3947849229
25	0.3833572145
26	0.3720608568
27	0.3623745756
28	0.3532939143
29	0.3439476778
30	0.3348092204
31	0.3267683851
32	0.3189512147
33	0.3125154606
34	0.3059190148
35	0.2997260634
36	0.2934635802
37	0.2881464196
38	0.2834688155
39	0.2785648565
40	0.2741483006
41	0.2696295445
42	0.2651829759
43	0.2614599552
44	0.2576255488
45	0.2545655762
46	0.2512473058
47	0.2481141249
48	0.2452288679
49	0.2425822987
50	0.240575884
51	0.2382072143
52	0.2358755701
53	0.2342545161
54	0.2326550008
55	0.2311995924
56	0.2295392062
57	0.2280909244
58	0.2266557296
59	0.2252804003
60	0.2244981336
61	0.2231588034
62	0.2222611746
63	0.2216145759
64	0.2203958474
65	0.2194234931
66	0.218421671
67	0.2173302121
68	0.2166316264
69	0.2157085398
70	0.2147656215
71	0.2141326213
72	0.2134156781
73	0.2129743373
74	0.2122734095
75	0.2117126119
76	0.2113516944
77	0.2107766456
78	0.2105577596
79	0.2101873965
80	0.2097941132
81	0.2094510673
82	0.2089158357
83	0.2086447441
84	0.2083454247
85	0.2080578309
86	0.2078010591
87	0.2072852708
88	0.206878869
89	0.2064868855
90	0.2060925585
91	0.2056191112
92	0.2052720857
93	0.2050773277
94	0.2047080275
95	0.2045030206
96	0.2042598661
97	0.204133397
98	0.2039604302
99	0.203801881
100	0.2035927156
101	0.2033646019
102	0.2031779914
103	0.2030849297
104	0.2029312682
105	0.2027371005
106	0.2025998485
107	0.2025342205
108	0.2023357499
109	0.2021811192
110	0.2019491961
111	0.2018044508
112	0.2016044112
113	0.2014534208
114	0.2014027536
115	0.2013064375
116	0.2011157107
117	0.2009046675
118	0.2008668558
119	0.2006415833
120	0.2005440475
121	0.2003649567
122	0.2002249389
123	0.1998628752
124	0.1997618243
125	0.1996423213
126	0.1995893941
127	0.1993291337
128	0.199294377
129	0.1992295474
130	0.1990233339
131	0.1988637219
132	0.1987174159
133	0.1985841615
134	0.1984052464
135	0.1983430085
136	0.1982390955
137	0.1980771101
138	0.1980110196
139	0.197958494
140	0.197870857
141	0.1978514977
142	0.1977393467
143	0.1975977101
144	0.1975178269
145	0.197508017
146	0.1974642076
147	0.1973438711
148	0.1972950666
149	0.1970752537
150	0.1968622139
151	0.1966926948
152	0.1966765863
153	0.196642021
154	0.1964547927
155	0.1962482431
156	0.1961192241
157	0.1959439216
158	0.1958281091
159	0.1957622192
160	0.1956791691
161	0.1954701278
162	0.1953744334
163	0.1952725304
164	0.1952526914
165	0.1951433121
166	0.1951197147
167	0.194867242
168	0.194703883
169	0.1946132446
170	0.1945631476
171	0.1944660772
172	0.1942809108
173	0.1942097891
174	0.1941044708
175	0.1939885138
176	0.1938868711
177	0.1937322958
178	0.1935988221
179	0.1935816444
180	0.193379802
181	0.1933625288
182	0.193320242
183	0.1932926264
184	0.1932480078
185	0.1932142133
186	0.1931821643
187	0.1931685165
188	0.1931186536
189	0.1930222281
190	0.1929791115
191	0.1928675887
192	0.1927374459
193	0.1926776164
194	0.1926324777
195	0.1925282069
196	0.1924208526
197	0.1923682277
198	0.1922185251
199	0.1921838389
200	0.1921304302
201	0.1919253295
202	0.1917512219
203	0.1916248523
204	0.1914246636
205	0.1913654137
206	0.1912655893
207	0.1910904096
208	0.1910096579
209	0.1908616792
210	0.1908333287
211	0.1907716046
212	0.1906678097
213	0.1906064683
214	0.1905656105
215	0.1904319534
216	0.19026324
217	0.1902335342
218	0.190148942
219	0.190054672
220	0.1899406563
221	0.1898299961
222	0.1898017592
223	0.1896905047
224	0.1895190176
225	0.1894085463
226	0.1893329769
227	0.1891687079
228	0.1891375492
229	0.1890240863
230	0.1888860614
231	0.188883026
232	0.1888418706
233	0.1887924187
234	0.1887520956
235	0.1886221168
236	0.1885964552
237	0.1885534955
238	0.1884554769
239	0.1884188293
240	0.188388884
241	0.1883334281
242	0.1882422799
243	0.1881477509
244	0.1880513855
245	0.187945157
246	0.1879216153
247	0.1878949724
248	0.187824425
249	0.1877470544
250	0.1875588559
251	0.1874576589
252	0.18731475
253	0.187199472
254	0.1870719949
255	0.1869481057
256	0.1868834524
257	0.1867507396
258	0.1867247452
259	0.186585247
260	0.1864621997
261	0.1864366782
262	0.1863887704
263	0.1863132545
264	0.1862456274
265	0.1860970484
266	0.1859838645
267	0.1859015536
268	0.185789692
269	0.1857411606
270	0.1857156552
271	0.1855849023
272	0.1854706079
273	0.1854594958
274	0.1853767054
275	0.1852360869
276	0.1851404616
277	0.185064597
278	0.1849240874
279	0.1848655925
280	0.1848602097
281	0.1847376277
282	0.184666529
283	0.1845855354
284	0.1844819451
285	0.1843569651
286	0.1842070568
287	0.1841204721
288	0.1840365461
289	0.1838951969
290	0.1838066379
291	0.1836781786
292	0.1836438822
293	0.1835147353
294	0.183449399
295	0.1833317622
296	0.1833055238
297	0.1832206127
298	0.1831122602
299	0.1830825973
300	0.1830184108
301	0.1829263783
302	0.1828341441
303	0.182725998
304	0.1826636495
305	0.1825986898
306	0.182470878
307	0.1824455902
308	0.1823487062
309	0.1823230538
310	0.1822364275
311	0.1821244157
312	0.1819549929
313	0.1819039936
314	0.1818628043
315	0.1817543478
316	0.1816795029
317	0.1815808421
318	0.1814828393
319	0.1813978537
320	0.1813206254
321	0.1812444404
322	0.1811744729
323	0.1811053968
324	0.1810773295
325	0.1809505341
326	0.1809117122
327	0.1808849049
328	0.1808265306
329	0.1807605625
330	0.1806817592
331	0.1806575539
332	0.180522127
333	0.1804755721
334	0.1803858113
335	0.1802695324
336	0.180266729
337	0.1801940013
338	0.1801693821
339	0.1800597124
340	0.1799650387
341	0.1799633079
342	0.1798953875
343	0.1798165954
344	0.1797179929
345	0.1796355168
346	0.1795761961
347	0.1794829589
348	0.1794007065
349	0.1792788901
350	0.1791717864
351	0.1791042827
352	0.1789581898
353	0.1788572608
